linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000549,100,3
100.00000000000553,100,7
31.643692159711733,32,1
100.00000000000627,100,1
100.00000000000631,100,7
89.77073197368308,90,1
100.00000000000635,100,1
0.7962203702445831,1,1
22.96728558100705,23,1
7.6462235108579035,8,1
100.0000000000062,100,1
0.8766110873267184,1,1
100.00000000000604,100,6
2.8510713231794775,3,1
100.00000000000607,100,1
100.00000000000608,100,8
0.18264625797771308,0,1
100.00000000000612,100,7
100.00000000000611,100,3
100.00000000000593,100,8
100.00000000000591,100,8
100.00000000000595,100,3
100.00000000000597,100,1
100.00000000000601,100,2
100.00000000000853,100,2
100.00000000000857,100,9
100.00000000000841,100,4
0.5332762767467468,1,1
100.0000000000085,100,3
100.00000000000833,100,1
100.00000000000837,100,1
1.8286016244107368,2,1
100.00000000000836,100,1
100.0000000000084,100,18
18.593818853166376,19,1
100.0000000000082,100,4
100.00000000000821,100,1
7.012330027220861,7,1
99.12808671253451,99,1
100.00000000000904,100,2
100.00000000000907,100,1
100.00000000000888,100,3
100.00000000000891,100,6
98.39018552688586,98,1
100.00000000000895,100,9
100.00000000000877,100,1
100.0000000000088,100,2
100.00000000000881,100,2
100.00000000000884,100,4
100.00000000000865,100,18
100.00000000000868,100,3
100.0000000000087,100,3
1.6525326161449454,2,1
100.00000000000873,100,19
48.2740070678565,48,1
100.00000000000769,100,1
0.47643957210504034,0,2
100.0000000000077,100,15
100.00000000000755,100,2
100.00000000000753,100,3
100.00000000000739,100,3
100.00000000000742,100,5
0.38631747472085576,0,1
100.00000000000746,100,2
91.04715,91,1
100.00000000000749,100,23
100.00000000000733,100,8
4.212953256483956,4,1
100.00000000000809,100,1
12.804274122685843,13,1
100.0000000000081,100,3
100.00000000000814,100,1
1.4113898111474483,1,1
100.00000000000797,100,13
3.3570161611518516,3,1
100.00000000000799,100,1
100.00000000000801,100,1
100.00000000000784,100,9
100.00000000000789,100,4
6.210300031871397,6,1
100.00000000000793,100,5
100.00000000000774,100,14
100.00000000000773,100,2
97.9006027703955,98,1
0.31591448524445154,0,1
100.00000000001035,100,11
100.00000000001037,100,4
30.24408461812036,30,1
91.15814380528168,91,1
100.00000000001023,100,10
100.00000000001027,100,2
0.7263549564703683,1,1
100.00000000001033,100,4
0.856541740802076,1,1
100.00000000001012,100,3
100.00000000001022,100,13
98.59714866538684,99,1
0.07849458439317651,0,1
100.00000000001003,100,7
100.00000000001008,100,3
100.00000000001081,100,4
79.78458487179773,80,1
83.33868800781484,83,1
100.00000000001083,100,1
100.0000000000109,100,1
100.00000000001089,100,4
100.0000000000107,100,2
3.891224247659717,4,1
1.1652353412724632,1,1
100.00000000001059,100,6
100.00000000001057,100,1
2.253201275624611,2,1
100.00000000001046,100,4
100.0000000000105,100,1
100.00000000001049,100,1
91.68154452300811,92,1
100.00000000001054,100,6
79.32861621687954,79,1
100.00000000000944,100,10
100.00000000000948,100,5
0.8153510228989145,1,1
44.96948493338195,45,1
16.447344450653016,16,1
100.00000000000946,100,15
0.33629012973713107,0,1
100.0000000000095,100,1
1.0586882916531413,1,1
100.00000000000936,100,7
100.0000000000094,100,5
2.3312753631314718,2,1
90.3558558977804,90,1
100.00000000000941,100,2
100.00000000000921,100,5
100.00000000000924,100,2
0.05500503255020417,0,1
100.00000000000927,100,25
9.1307942705714,9,1
100.00000000000912,100,5
79.69984695026002,80,1
100.00000000000915,100,2
100.0000000000092,100,4
