timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
10,435.0,394.0,394.0,2,0,0
8,302.0,300.6666666666667,198.0,3,0,0
7,302.0,133.6,76.0,5,0,0
17,435.0,60.0,60.0,1,0,0
18,435.0,173.0,173.0,3,0,0
7,435.0,60.0,60.0,1,0,0
14,424.0,156.0,156.0,1,0,0
15,424.0,113.0,113.0,1,0,0
8,424.0,314.7142857142857,249.0,7,0,0
17,390.0,895.0,895.0,1,0,0
9,424.0,201.0,201.0,2,0,0
7,390.0,132.0,132.0,1,0,0
17,424.0,298.0,298.0,2,0,0
7,424.0,271.2,264.0,5,0,0
8,270.0,984.0,984.0,1,0,0
11,413.0,110.0,110.0,7,0,0
12,459.0,164.0,164.0,2,0,0
7,459.0,746.0,746.0,6,0,0
9,459.0,132.0,132.0,1,0,0
8,459.0,245.93333333333334,132.0,15,0,0
19,413.0,110.0,110.0,2,0,0
17,459.0,225.0,225.0,2,0,0
8,304.0,104.0,104.0,1,0,0
7,304.0,104.0,104.0,1,0,0
10,304.0,100.0,100.0,1,0,0
16,304.0,366.0,366.0,1,0,0
15,304.0,372.6666666666667,370.0,3,0,0
17,304.0,509.5,509.5,2,0,0
11,448.0,75.76923076923077,58.0,13,0,0
11,402.0,56.0,56.0,1,0,0
10,448.0,93.91666666666667,49.0,12,0,0
13,448.0,102.33333333333333,144.0,3,0,0
8,402.0,220.0,25.0,3,0,0
12,448.0,99.5,102.5,4,0,0
7,448.0,234.0,234.0,2,0,0
15,402.0,68.33333333333333,43.0,3,0,0
8,448.0,610.0,610.0,2,0,0
19,448.0,71.1219512195122,49.0,41,0,0
18,448.0,616.5,698.0,20,0,0
18,402.0,130.0,130.0,1,0,0
17,402.0,120.875,78.0,8,0,0
20,448.0,452.0,452.0,20,0,0
15,448.0,534.0,452.0,3,0,0
14,448.0,156.6153846153846,170.0,13,0,0
17,448.0,1353.9435028248588,1583.0,177,0,0
16,448.0,118.52380952380952,117.0,21,0,0
11,339.0,453.0,453.0,1,0,0
9,339.0,180.0,159.5,4,0,0
7,339.0,296.7142857142857,297.0,7,0,0
8,339.0,369.6,404.0,5,0,0
17,339.0,210.0,210.0,1,0,0
7,402.0,203.5,203.5,2,0,0
15,339.0,115.0,115.0,1,0,0
16,339.0,85.0,85.0,2,0,0
13,339.0,268.0,268.0,1,0,0
14,339.0,209.4,179.0,5,0,0
9,490.0,279.42857142857144,206.0,7,0,0
8,490.0,798.1333333333333,669.5,30,0,0
10,328.0,262.0,262.0,1,0,0
7,328.0,429.0,429.0,1,0,0
8,328.0,245.33333333333334,261.0,3,0,0
18,490.0,206.0,206.0,6,0,0
17,490.0,206.0,206.0,6,0,0
16,490.0,206.0,206.0,1,0,0
15,490.0,206.0,206.0,1,0,0
14,490.0,206.0,206.0,6,0,0
13,490.0,459.8,497.0,15,0,0
12,490.0,206.0,206.0,22,0,0
13,328.0,214.0,214.0,1,0,0
11,490.0,154.0,154.0,2,0,0
17,392.0,413.5,413.5,2,0,0
8,392.0,74.0,54.0,4,0,0
11,272.0,344.0,344.0,1,0,0
12,272.0,331.0,331.0,1,0,0
9,272.0,469.0,469.0,1,0,0
12,317.0,160.0,160.0,6,0,0
10,272.0,142.0,142.0,4,0,0
8,317.0,260.0,260.0,2,0,0
13,272.0,232.0,232.0,4,0,0
14,272.0,565.5,565.5,2,0,0
18,317.0,154.0,154.0,1,0,0
17,317.0,373.05882352941177,250.0,17,0,0
19,317.0,62.0,62.0,3,0,0
7,272.0,248.0,248.0,1,0,0
13,317.0,132.0,132.0,2,0,0
16,317.0,149.0,149.0,1,0,0
10,381.0,510.0,510.0,1,0,0
