iteration,vehicleType,vehicleMilesTraveled,vehicleHoursTraveled,numberOfVehicles
7,siouxareametro-sd-us:1349,0.0,0.0,4.0
7,siouxareametro-sd-us:1343,0.0,0.0,2.0
7,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
7,CAR-TYPE-DEFAULT,9730.19237529006,965.3972222222222,960.0
7,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
7,siouxareametro-sd-us:1350,0.0,0.0,2.0
7,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
7,siouxareametro-sd-us:1348,0.0,0.0,2.0
7,siouxareametro-sd-us:1344,0.0,0.0,2.0
8,siouxareametro-sd-us:1351,0.0,0.0,1.0
8,siouxareametro-sd-us:1341,0.0,0.0,12.0
8,siouxareametro-sd-us:1345,0.0,0.0,2.0
8,siouxareametro-sd-us:1340,0.0,0.0,4.0
8,siouxareametro-sd-us:1347,0.0,0.0,3.0
8,BODY-TYPE-DEFAULT,0.0,16621.768333333333,15001.0
8,BUS-DEFAULT,6121.5126910325935,362.6,596.0
8,siouxareametro-sd-us:1346,0.0,0.0,4.0
8,siouxareametro-sd-us:1342,0.0,0.0,4.0
8,PHEV,3413.388443304742,331.86805555555554,347.0
8,BEV,5055.943513563368,487.9741666666667,538.0
8,siouxareametro-sd-us:1349,0.0,0.0,4.0
8,siouxareametro-sd-us:1343,0.0,0.0,2.0
8,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
8,CAR-TYPE-DEFAULT,9308.781895777394,909.0833333333334,937.0
8,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
8,siouxareametro-sd-us:1350,0.0,0.0,2.0
8,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
8,siouxareametro-sd-us:1348,0.0,0.0,2.0
8,siouxareametro-sd-us:1344,0.0,0.0,2.0
9,siouxareametro-sd-us:1351,0.0,0.0,1.0
9,siouxareametro-sd-us:1341,0.0,0.0,12.0
9,siouxareametro-sd-us:1345,0.0,0.0,2.0
9,siouxareametro-sd-us:1340,0.0,0.0,4.0
9,siouxareametro-sd-us:1347,0.0,0.0,3.0
9,BODY-TYPE-DEFAULT,0.0,16680.835,15001.0
9,BUS-DEFAULT,6121.512691032592,362.6,596.0
9,siouxareametro-sd-us:1346,0.0,0.0,4.0
9,siouxareametro-sd-us:1342,0.0,0.0,4.0
9,PHEV,3273.1268926892194,293.64944444444444,343.0
9,BEV,5009.103766454469,447.31416666666667,536.0
9,siouxareametro-sd-us:1349,0.0,0.0,4.0
9,siouxareametro-sd-us:1343,0.0,0.0,2.0
9,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
9,CAR-TYPE-DEFAULT,9154.075171854452,814.0361111111112,941.0
9,BUS-STD-HD,687.9348203846628,50.13333333333333,64.0
9,siouxareametro-sd-us:1350,0.0,0.0,2.0
9,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
9,siouxareametro-sd-us:1348,0.0,0.0,2.0
9,siouxareametro-sd-us:1344,0.0,0.0,2.0
10,siouxareametro-sd-us:1351,0.0,0.0,1.0
10,siouxareametro-sd-us:1341,0.0,0.0,12.0
10,siouxareametro-sd-us:1345,0.0,0.0,2.0
10,siouxareametro-sd-us:1340,0.0,0.0,4.0
10,siouxareametro-sd-us:1347,0.0,0.0,3.0
10,BODY-TYPE-DEFAULT,0.0,16635.905555555557,15001.0
10,BUS-DEFAULT,6121.512691032592,362.6,596.0
10,siouxareametro-sd-us:1346,0.0,0.0,4.0
10,siouxareametro-sd-us:1342,0.0,0.0,4.0
10,PHEV,3329.2768239441243,294.9580555555556,340.0
10,BEV,4961.233481437395,438.98083333333335,524.0
10,siouxareametro-sd-us:1349,0.0,0.0,4.0
10,siouxareametro-sd-us:1343,0.0,0.0,2.0
10,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
10,CAR-TYPE-DEFAULT,9570.222999630369,842.6519444444444,941.0
10,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
10,siouxareametro-sd-us:1350,0.0,0.0,2.0
10,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
10,siouxareametro-sd-us:1348,0.0,0.0,2.0
10,siouxareametro-sd-us:1344,0.0,0.0,2.0
